Particulars,For 18-Jan-2018,For 19-Jan-2018,For 20-Jan-2018,For 21-Jan-2018,For 22-Jan-2018,For 23-Jan-2018
,Outwards Quantity,Outwards Quantity,Outwards Quantity,Outwards Quantity,Outwards Quantity,Outwards Quantity
Combo,11,24,35,164,22,
Adults (Combo),11,17,26,116,17,
Adults Group (Combo),,,,,,
Children (Combo),,1,,27,,
College Students (Combo),,4,6,11,4,
Ex-Defence and Govt. Officers (Combo),,,,3,,
Foregin Adults (Combo),,,,,,
Sr. Citizens (Combo),,2,1,7,1,
Students (Combo),,,,,,
Documentary,11,26,15,19,6,
Adults (Documentary),,3,8,4,,
Adults Group (Documentary),,,,,,
Children (Documentary),,,,1,,
College Students (Documentary),,,,,,
Ex Def. & Govt. Officer (Documentary),,,,,,
Foreign Adults (Documentary),10,22,7,14,6,
Sr. Citizens (Documentary),,1,,,,
Students (Documentary),1,,,,,
Museum ,1724,2797,2822,2659,1363,1267
Adults ,455,510,851,1232,377,480
Adults Group,497,484,610,681,347,537
Children ,305,1064,557,232,428,
College Students ,71,163,142,63,91,55
Ex-Defence and Govt. Officers,1,8,16,41,12,11
Foreign Adults,123,439,431,222,83,150
Friends & Relatives,,,,,,
Sr. Citizens,28,30,44,37,25,34
Students,244,99,171,151,,
Economy,,1,,,,
PR Gallery Guide Tickets,,,,,,
Special Photo Pass,,,,,,
Special Viewing ,,,,,,
Grand Total,1746,2848,2872,2842,1319,1267
