Particulars,For 30-Jan-2018,For 31-Jan-2018
,Outwards Quantity,Outwards Quantity
Combo,34,99
Adults (Combo),17,29
Adults Group (Combo),,
Children (Combo),,44
College Students (Combo),17,26
Ex-Defence and Govt. Officers (Combo),,
Foregin Adults (Combo),,
Sr. Citizens (Combo),,
Students (Combo),,
Documentary,7,3
Adults (Documentary),,
Adults Group (Documentary),,
Children (Documentary),1,
College Students (Documentary),,
Ex Def. & Govt. Officer (Documentary),,
Foreign Adults (Documentary),6,3
Sr. Citizens (Documentary),,
Students (Documentary),,
Museum ,1219,1416
Adults ,546,456
Adults Group,340,294
Children ,,226
College Students ,106,94
Ex-Defence and Govt. Officers,10,6
Foreign Adults,193,155
Friends & Relatives,,
Sr. Citizens,24,42
Students,,143
Economy,2,
PR Gallery Guide Tickets,,
Special Photo Pass,,
Special Viewing ,,
Grand Total,1262,1518
